2.5 3000    9.84164
2.5 1000    12.5146
2.5 800     9.80912
2.5 600     10.0729
2.5 400     9.51787
2.5 200     12.2716
2.5 50      9.63442

2.3 3000    9.51039
2.3 1000    10.381 
2.3 800     10.3321
2.3 600     11.4334
2.3 400     9.57765
2.3 200     9.46574
2.3 50      10.4515

2.1 3000    27.5634
2.1 1000    13.4402
2.1 800     18.7987
2.1 600     18.1445
2.1 400     15.8097
2.1 200     15.465 
2.1 50      23.9813

1.9 3000    25.1919
1.9 1000    17.227 
1.9 800     19.9502
1.9 600     25.3713
1.9 400     19.7674
1.9 200     14.7204
1.9 50      23.3113

1.7 3000    21.529 
1.7 1000    24.3874
1.7 800     15.9792
1.7 600     24.0139
1.7 400     21.3437
1.7 200     24.1128
1.7 50      20.2463

1.5 3000    27.5787
1.5 1000    18.0878
1.5 800     26.6288
1.5 600     14.7646
1.5 400     20.6574
1.5 200     25.1471
1.5 50      23.8178

1.3 3000    25.9546
1.3 1000    28.7007
1.3 800     20.9333
1.3 600     21.3115
1.3 400     20.1741
1.3 200     26.761 
1.3 50      19.906 
