2.5 3000    0.592286
2.5 1000    0.59102 
2.5 800     0.654061
2.5 600     0.774974
2.5 400     1.00703 
2.5 200     1.71172 
2.5 50      5.94165 

2.3 3000    0.589548
2.3 1000    0.594383
2.3 800     0.655354
2.3 600     0.769727
2.3 400     1.01267 
2.3 200     1.71489 
2.3 50      5.93995 

2.1 3000    0.60695 
2.1 1000    0.60856 
2.1 800     0.677219
2.1 600     0.787994
2.1 400     1.02889 
2.1 200     1.72612 
2.1 50      5.95158 

1.9 3000    0.645837
1.9 1000    0.642058
1.9 800     0.707693
1.9 600     0.828558
1.9 400     1.05259 
1.9 200     1.75997 
1.9 50      5.97076 

1.7 3000    0.681742
1.7 1000    0.687593
1.7 800     0.743331
1.7 600     0.860519
1.7 400     1.09023 
1.7 200     1.80109 
1.7 50      6.01653 

1.5 3000    0.724877
1.5 1000    0.736559
1.5 800     0.801125
1.5 600     0.915667
1.5 400     1.14864 
1.5 200     1.85284 
1.5 50      6.05898 

1.3 3000    0.802946
1.3 1000    0.800482
1.3 800     0.858437
1.3 600     0.985799
1.3 400     1.21402 
1.3 200     1.92411 
1.3 50      6.11365 
