5   3000    21.8158
5   1000    31.9992
5   800     29.1198
5   600     20.1989
5   400     31.493 
5   200     33.1967
5   50      32.2754

10  3000    31.966 
10  1000    28.1993
10  800     31.1382
10  600     26.4914
10  400     23.6693
10  200     18.5225
10  50      23.235 

15  3000    25.3988
15  1000    24.9591
15  800     26.2128
15  600     15.1295
15  400     26.8292
15  200     32.5111
15  50      21.9191

20  3000    25.5455
20  1000    34.4559
20  800     20.7881
20  600     29.1289
20  400     21.7176
20  200     29.0436
20  50      29.7864

25  3000    14.3264
25  1000    31.8236
25  800     30.3468
25  600     23.9057
25  400     29.5114
25  200     24.3216
25  50      30.4937

30  3000    20.9937
30  1000    28.9696
30  800     31.3706
30  600     24.4942
30  400     29.2673
30  200     23.1135
30  50      23.0227

35  3000    18.4361
35  1000    19.786 
35  800     30.9096
35  600     31.339 
35  400     23.0801
35  200     26.7886
35  50      25.671 

40  3000    31.1705
40  1000    21.0556
40  800     31.5146
40  600     23.8633
40  400     29.2537
40  200     26.2753
40  50      24.0433

45  3000    29.1381
45  1000    19.3475
45  800     26.8282
45  600     29.1726
45  400     19.9216
45  200     33.1482
45  50      31.9227

50  3000    31.7519
50  1000    30.822 
50  800     27.4576
50  600     31.1436
50  400     30.446 
50  200     28.1752
50  50      20.3731

55  3000    25.158 
55  1000    20.3229
55  800     27.533 
55  600     33.2618
55  400     21.9831
55  200     30.6151
55  50      31.3509

60  3000    23.6605
60  1000    19.7316
60  800     29.7509
60  600     17.5141
60  400     21.5974
60  200     30.482 
60  50      22.9219

80  3000    30.5208
80  1000    31.2741
80  800     23.1601
80  600     25.2916
80  400     18.5736
80  200     30.5034
80  50      33.6146

120 3000    22.5223
120 1000    18.5764
120 800     31.7595
120 600     28.2463
120 400     24.4812
120 200     24.8375
120 50      26.4198

160 3000    26.4936
160 1000    27.222 
160 800     26.4626
160 600     20.6354
160 400     23.2209
160 200     28.5164
160 50      24.0386
