2.3	10	0.0922278
2.3	20	0.295672
2.3	30	0.655127
2.3	40	1.14654
2.3	50	1.69057
2.3	60	2.39589
2.3	70	3.31215
2.3	80	4.29789
2.3	90	5.34735
2.3	100	6.69388
2.3	110	7.99065
2.3	120	9.43513
2.3	130	11.2416
2.3	140	12.9132
2.3	150	14.9679
2.3	160	16.8017
2.3	170	19.0581
2.3	180	21.6262
2.3	190	23.7254
2.3	200	26.7668

2.2	10	0.0869222
2.2	20	0.311748
2.2	30	0.659186
2.2	40	1.12245
2.2	50	1.75909
2.2	60	2.48067
2.2	70	3.27349
2.2	80	4.2945
2.2	90	5.42616
2.2	100	6.44084
2.2	110	8.12407
2.2	120	9.66795
2.2	130	11.1013
2.2	140	13.0869
2.2	150	14.8768
2.2	160	17.5605
2.2	170	19.3385
2.2	180	21.3421
2.2	190	23.9645
2.2	200	27.1153

2.1	10	0.0956733
2.1	20	0.330307
2.1	30	0.725383
2.1	40	1.23873
2.1	50	1.91313
2.1	60	2.73473
2.1	70	3.7315
2.1	80	4.74285
2.1	90	6.05385
2.1	100	7.56474
2.1	110	8.94497
2.1	120	10.6609
2.1	130	12.5759
2.1	140	14.7103
2.1	150	16.2962
2.1	160	18.8365
2.1	170	21.061
2.1	180	23.5441
2.1	190	26.467
2.1	200	29.3382

2	10	0.097462
2	20	0.341485
2	30	0.744011
2	40	1.27726
2	50	1.95077
2	60	2.78465
2	70	3.76503
2	80	4.81043
2	90	6.05905
2	100	7.58789
2	110	9.08665
2	120	10.8131
2	130	12.5241
2	140	14.7201
2	150	16.8113
2	160	19.1881
2	170	21.4381
2	180	24.1467
2	190	26.593
2	200	29.5851

1.9	10	0.100309
1.9	20	0.379
1.9	30	0.766886
1.9	40	1.29326
1.9	50	2.06716
1.9	60	2.86553
1.9	70	3.842
1.9	80	4.94819
1.9	90	6.25239
1.9	100	7.72662
1.9	110	9.28216
1.9	120	11.0784
1.9	130	13.3032
1.9	140	14.8892
1.9	150	17.2526
1.9	160	19.3642
1.9	170	22.3539
1.9	180	24.6595
1.9	190	27.4056
1.9	200	30.3019

1.8	10	0.110495
1.8	20	0.35863
1.8	30	0.772088
1.8	40	1.37818
1.8	50	2.14466
1.8	60	2.96574
1.8	70	4.0416
1.8	80	5.17302
1.8	90	6.57932
1.8	100	7.9899
1.8	110	9.70207
1.8	120	11.8635
1.8	130	13.3505
1.8	140	15.5402
1.8	150	18.0645
1.8	160	20.445
1.8	170	22.6426
1.8	180	26.1522
1.8	190	27.8229
1.8	200	31.9747

1.7	10	0.10894
1.7	20	0.379606
1.7	30	0.864809
1.7	40	1.49905
1.7	50	2.22806
1.7	60	3.07592
1.7	70	4.07405
1.7	80	5.54476
1.7	90	6.97868
1.7	100	8.72361
1.7	110	10.5985
1.7	120	12.5237
1.7	130	14.1847
1.7	140	16.95
1.7	150	18.5858
1.7	160	21.836
1.7	170	23.4639
1.7	180	27.6222
1.7	190	30.1486
1.7	200	33.81

1.6	10	0.122359
1.6	20	0.440198
1.6	30	0.906576
1.6	40	1.57997
1.6	50	2.32285
1.6	60	3.29438
1.6	70	4.53505
1.6	80	5.99279
1.6	90	7.60274
1.6	100	9.07718
1.6	110	10.885
1.6	120	13.1196
1.6	130	15.7761
1.6	140	18.2036
1.6	150	20.4656
1.6	160	23.5096
1.6	170	26.6366
1.6	180	29.7134
1.6	190	33.2111
1.6	200	36.6562

1.5	10	0.131305
1.5	20	0.443285
1.5	30	0.946502
1.5	40	1.58234
1.5	50	2.45674
1.5	60	3.57327
1.5	70	4.71609
1.5	80	6.22816
1.5	90	7.84301
1.5	100	9.62816
1.5	110	11.6069
1.5	120	14.0365
1.5	130	16.5597
1.5	140	18.8032
1.5	150	21.1939
1.5	160	24.7003
1.5	170	27.3801
1.5	180	30.6985
1.5	190	34.1719
1.5	200	37.0467

1.4	10	0.133445
1.4	20	0.454559
1.4	30	0.97943
1.4	40	1.7007
1.4	50	2.58068
1.4	60	3.58586
1.4	70	5.02796
1.4	80	6.54942
1.4	90	8.08525
1.4	100	9.82041
1.4	110	12.1255
1.4	120	14.2145
1.4	130	16.4643
1.4	140	19.0578
1.4	150	22.2557
1.4	160	25.0077
1.4	170	28.0854
1.4	180	32.6179
1.4	190	35.2728
1.4	200	38.8848

1.3	10	0.15058
1.3	20	0.486704
1.3	30	1.01265
1.3	40	1.73606
1.3	50	2.76531
1.3	60	3.93948
1.3	70	5.36931
1.3	80	7.0524
1.3	90	8.70484
1.3	100	10.338
1.3	110	12.5149
1.3	120	14.9927
1.3	130	17.5382
1.3	140	20.7876
1.3	150	22.9353
1.3	160	26.8475
1.3	170	29.6777
1.3	180	33.4649
1.3	190	37.0825
1.3	200	41.6234

1.2	10	0.144865
1.2	20	0.487924
1.2	30	1.03583
1.2	40	1.83503
1.2	50	2.88671
1.2	60	4.05445
1.2	70	5.44175
1.2	80	7.03254
1.2	90	9.03166
1.2	100	10.9765
1.2	110	13.5125
1.2	120	15.8868
1.2	130	18.5664
1.2	140	21.9582
1.2	150	24.8772
