2.5 3000    0.14048
2.5 1000    0.14376
2.5 800     0.13965
2.5 600     0.14105
2.5 400     0.14263
2.5 200     0.15287
2.5 50      0.18869

2.3 3000    0.14549
2.3 1000    0.14456
2.3 800     0.1398 
2.3 600     0.14522
2.3 400     0.14275
2.3 200     0.14633
2.3 50      0.18934

2.1 3000    0.14748
2.1 1000    0.15181
2.1 800     0.14830
2.1 600     0.14508
2.1 400     0.14978
2.1 200     0.15806
2.1 50      0.19564

1.9 3000    0.15801
1.9 1000    0.16016
1.9 800     0.16268
1.9 600     0.15809
1.9 400     0.16063
1.9 200     0.16972
1.9 50      0.22469

1.7 3000    0.17317
1.7 1000    0.17851
1.7 800     0.18426
1.7 600     0.17408
1.7 400     0.17535
1.7 200     0.18717
1.7 50      0.22828

1.5 3000    0.19892
1.5 1000    0.19355
1.5 800     0.19234
1.5 600     0.19506
1.5 400     0.20056
1.5 200     0.20596
1.5 50      0.24628

1.3 3000    0.21865
1.3 1000    0.21947
1.3 800     0.23274
1.3 600     0.22168
1.3 400     0.22975
1.3 200     0.23068
1.3 50      0.27488
