10      0.00209
128     0.00667
256     0.01700
384     0.03949
512     0.04525
640     0.07025
768     0.07783
896     0.08975
1024    0.11946
1152    0.11966
1280    0.13326
1408    0.17053
1536    0.17869
1664    0.19633
1792    0.19711
1920    0.205  
2048    0.23091
2176    0.24945
2304    0.27564
2432    0.28079
2560    0.29780
2688    0.31649
2816    0.33919
2944    0.33842
3072    0.35942
3200    0.36654
3328    0.38492
3456    0.40695
3584    0.43111
3712    0.44409
3840    0.43980
3968    0.47235
4096    0.4926 
