2.5     9000    0.209251
2.5     8800    0.196214
2.5     8600    0.214051
2.5     8400    0.210961
2.5     8200    0.197153
2.5     8000    0.199610
2.5     7800    0.213533
2.5     7600    0.212258
2.5     7400    0.203639
2.5     7200    0.179196
2.5     7000    0.201759
2.5     6800    0.216545
2.5     6600    0.204688
2.5     6400    0.208941
2.5     6200    0.204857
2.5     6000    0.213362
2.5     5800    0.213234
2.5     5600    0.211706
2.5     5400    0.208073
2.5     5200    0.209812
2.5     5000    0.210788
2.5     4800    0.213336
2.5     4600    0.213794
2.5     4400    0.207226
2.5     4200    0.216281
2.5     4000    0.221079
2.5     3800    0.220792
2.5     3600    0.220989
2.5     3400    0.223221
2.5     3200    0.219137
2.5     3000    0.226995
2.5     2800    0.227084
2.5     2600    0.237042
2.5     2400    0.253321
2.5     2200    0.248121
2.5     2000    0.259059
2.5     1800    0.273241
2.5     1600    0.293450
2.5     1400    0.318014
2.5     1200    0.353160
2.5     1000    0.410621
2.5     800     0.496796
2.5     600     0.642207
2.5     400     0.936156

2.3     9000    0.205979
2.3     8800    0.202744
2.3     8600    0.190537
2.3     8400    0.191799
2.3     8200    0.206016
2.3     8000    0.210235
2.3     7800    0.202583
2.3     7600    0.209017
2.3     7400    0.219207
2.3     7200    0.197570
2.3     7000    0.210177
2.3     6800    0.195170
2.3     6600    0.200134
2.3     6400    0.205464
2.3     6200    0.203105
2.3     6000    0.205309
2.3     5800    0.192785
2.3     5600    0.205145
2.3     5400    0.215503
2.3     5200    0.207651
2.3     5000    0.218391
2.3     4800    0.211850
2.3     4600    0.197583
2.3     4400    0.215605
2.3     4200    0.213502
2.3     4000    0.219195
2.3     3800    0.210260
2.3     3600    0.228361
2.3     3400    0.212247
2.3     3200    0.219201
2.3     3000    0.219655
2.3     2800    0.226295
2.3     2600    0.233682
2.3     2400    0.245950
2.3     2200    0.250006
2.3     2000    0.266479
2.3     1800    0.269222
2.3     1600    0.291598
2.3     1400    0.319773
2.3     1200    0.354213
2.3     1000    0.409189
2.3     800     0.496629
2.3     600     0.645179
2.3     400     0.934795

2.1     9000    0.198640
2.1     8800    0.214903
2.1     8600    0.203651
2.1     8400    0.202042
2.1     8200    0.215019
2.1     8000    0.207881
2.1     7800    0.209690
2.1     7600    0.220509
2.1     7400    0.215341
2.1     7200    0.213048
2.1     7000    0.215527
2.1     6800    0.211801
2.1     6600    0.210840
2.1     6400    0.218768
2.1     6200    0.215409
2.1     6000    0.198149
2.1     5800    0.211030
2.1     5600    0.210440
2.1     5400    0.211998
2.1     5200    0.214749
2.1     5000    0.207749
2.1     4800    0.209382
2.1     4600    0.229342
2.1     4400    0.219217
2.1     4200    0.232472
2.1     4000    0.214293
2.1     3800    0.220165
2.1     3600    0.237912
2.1     3400    0.227965
2.1     3200    0.234878
2.1     3000    0.240618
2.1     2800    0.236709
2.1     2600    0.246134
2.1     2400    0.252396
2.1     2200    0.257015
2.1     2000    0.276876
2.1     1800    0.287665
2.1     1600    0.297903
2.1     1400    0.330351
2.1     1200    0.362173
2.1     1000    0.421675
2.1     800     0.506433
2.1     600     0.649484
2.1     400     0.939881

1.9     9000    0.220141
1.9     8800    0.213536
1.9     8600    0.215689
1.9     8400    0.219386
1.9     8200    0.226981
1.9     8000    0.223484
1.9     7800    0.202640
1.9     7600    0.217867
1.9     7400    0.216220
1.9     7200    0.232629
1.9     7000    0.222560
1.9     6800    0.217284
1.9     6600    0.224674
1.9     6400    0.225307
1.9     6200    0.230384
1.9     6000    0.232372
1.9     5800    0.227077
1.9     5600    0.208454
1.9     5400    0.216532
1.9     5200    0.227315
1.9     5000    0.214281
1.9     4800    0.227538
1.9     4600    0.223109
1.9     4400    0.208367
1.9     4200    0.239617
1.9     4000    0.227602
1.9     3800    0.233954
1.9     3600    0.241220
1.9     3400    0.246975
1.9     3200    0.249276
1.9     3000    0.237644
1.9     2800    0.243289
1.9     2600    0.254288
1.9     2400    0.261986
1.9     2200    0.268934
1.9     2000    0.277614
1.9     1800    0.295549
1.9     1600    0.302803
1.9     1400    0.331121
1.9     1200    0.367074
1.9     1000    0.425826
1.9     800     0.508218
1.9     600     0.652265
1.9     400     0.942677

1.7     9000    0.229325
1.7     8800    0.221332
1.7     8600    0.228455
1.7     8400    0.226004
1.7     8200    0.215699
1.7     8000    0.224811
1.7     7800    0.226700
1.7     7600    0.222292
1.7     7400    0.228439
1.7     7200    0.226970
1.7     7000    0.217821
1.7     6800    0.239162
1.7     6600    0.230011
1.7     6400    0.217730
1.7     6200    0.226958
1.7     6000    0.220877
1.7     5800    0.244436
1.7     5600    0.223891
1.7     5400    0.225651
1.7     5200    0.229536
1.7     5000    0.223897
1.7     4800    0.228943
1.7     4600    0.231393
1.7     4400    0.230490
1.7     4200    0.239627
1.7     4000    0.231274
1.7     3800    0.245299
1.7     3600    0.241469
1.7     3400    0.235121
1.7     3200    0.238891
1.7     3000    0.259982
1.7     2800    0.255130
1.7     2600    0.247870
1.7     2400    0.258672
1.7     2200    0.275070
1.7     2000    0.296193
1.7     1800    0.300681
1.7     1600    0.317699
1.7     1400    0.336015
1.7     1200    0.372272
1.7     1000    0.427322
1.7     800     0.512018
1.7     600     0.656700
1.7     400     0.946495

1.5     9000    0.240289
1.5     8800    0.232109
1.5     8600    0.218201
1.5     8400    0.224531
1.5     8200    0.251391
1.5     8000    0.234515
1.5     7800    0.232885
1.5     7600    0.235278
1.5     7400    0.226197
1.5     7200    0.238960
1.5     7000    0.231953
1.5     6800    0.241063
1.5     6600    0.239663
1.5     6400    0.238242
