1   1000    0.492916
1   800     0.489124
1   600     0.536922
1   400     0.816078
1   200     1.623720
1   100     2.965934
1   50      6.479234
1   30      9.434884

5   1000    0.361741
5   800     0.450345
5   600     0.533064
5   400     0.764826
5   200     1.602969
5   100     3.067820
5   50      5.826052
5   30      10.820396

10  1000    0.465727
10  800     0.451426
10  600     0.553508
10  400     0.768773
10  200     1.603667
10  100     2.874795
10  50      5.955945
10  30      9.325506

20  1000    0.451232
20  800     0.447761
20  600     0.579497
20  400     0.770178
20  200     1.631405
20  100     3.339591
20  50      5.835749
20  30      9.574133

40  1000    0.363629
40  800     0.493052
40  600     0.564326
40  400     0.803186
40  200     1.456193
40  100     3.379110
40  50      6.937755
40  30      9.770536

60  1000    0.380546
60  800     0.454634
60  600     0.567140
60  400     0.777868
60  200     1.575394
60  100     3.121432
60  50      5.972558
60  30      9.325249

80  1000    0.464374
80  800     0.439106
80  600     0.590458
80  400     0.764433
80  200     1.625497
80  100     3.440206
80  50      6.960442
80  30      9.646094

100 1000    0.354371
100 800     0.449556
100 600     0.543686
100 400     0.773612
100 200     1.637688
100 100     2.990473
100 50      5.842980
100 30      11.218399

300 1000    0.361609
300 800     0.461355
300 600     0.534126
300 400     0.794123
300 200     1.517772
300 100     2.968170
300 50      5.726825
300 30      9.621093

500 1000    0.442030
500 800     0.420901
500 600     0.566218
500 400     0.767609
500 200     1.591309
500 100     2.994484
500 50      5.921824
500 30      10.015199
