1       1000    0.455380
1       800     0.495568
1       600     0.572779
1       400     0.764219
1       200     1.457582
1       100     2.846325
1       50      5.631128
1       30      9.346708

5       1000    0.454093
5       800     0.493080
5       600     0.569129
5       400     0.769145
5       200     1.458742
5       100     2.854040
5       50      5.629729
5       30      9.351567

10      1000    0.452399
10      800     0.495754
10      600     0.568454
10      400     0.763674
10      200     1.464187
10      100     2.857481
10      50      5.626534
10      30      9.341390

20      1000    0.453090
20      800     0.496284
20      600     0.566715
20      400     0.761977
20      200     1.462817
20      100     2.858988
20      50      5.627154
20      30      9.351196

40      1000    0.452451
40      800     0.497252
40      600     0.570399
40      400     0.762605
40      200     1.460415
40      100     2.857925
40      50      5.637265
40      30      9.350789

60      1000    0.457226
60      800     0.495278
60      600     0.569724
60      400     0.761286
60      200     1.459513
60      100     2.853208
60      50      5.630038
60      30      9.348299

80      1000    0.455693
80      800     0.497222
80      600     0.570778
80      400     0.765869
80      200     1.467833
80      100     2.851672
80      50      5.628512
80      30      9.353017

100     1000    0.456770
100     800     0.491479
100     600     0.564458
100     400     0.765641
100     200     1.462743
100     100     2.844682
100     50      5.630588
100     30      9.352682

300     1000    0.453370
300     800     0.493366
300     600     0.569744
300     400     0.760432
300     200     1.459082
300     100     2.859801
300     50      5.632686
300     30      9.349257

500     1000    0.456144
500     800     0.494435
500     600     0.565790
500     400     0.765014
500     200     1.463546
500     100     2.846714
500     50      5.634172
500     30      9.351423
