10      0.04
128     0.07
256     0.12
384     0.18
512     0.22
640     0.27
768     0.30
896     0.33
1024    0.34
1152    0.32
1280    0.40
1408    0.42
1536    0.44
1664    0.45
1792    0.47
1920    0.49
2048    0.53
2176    0.55
2304    0.56
2432    0.59
2560    0.60
2688    0.63
2816    0.64
2944    0.65
3072    0.68
3200    0.68
3328    0.69
3456    0.72
3584    0.73
3712    0.74
3840    0.79
3968    0.77
4096    0.82
